BlockIndex,P_hat
1,0.009
2,0.018
3,0.023
4,0.023
5,0.025
6,0.02
7,0.021
8,0.021
9,0.028
10,0.012
11,0.016
12,0.02
13,0.012
14,0.023
15,0.019
16,0.008
17,0.021
18,0.013
19,0.021
20,0.018
21,0.019
22,0.01
23,0.019
24,0.024
25,0.013
26,0.02
27,0.019
28,0.018
29,0.011
30,0.014
31,0.017
32,0.02
33,0.021
34,0.028
35,0.012
36,0.019
37,0.018
38,0.022
39,0.015
40,0.023
41,0.017
42,0.026
43,0.018
44,0.028
45,0.023
46,0.019
47,0.012
48,0.021
49,0.025
50,0.02
51,0.017
52,0.021
53,0.022
54,0.012
55,0.018
56,0.019
57,0.023
58,0.016
59,0.022
60,0.014
61,0.015
62,0.023
63,0.017
64,0.015
65,0.016
66,0.017
67,0.018
68,0.022
69,0.014
70,0.017
71,0.013
72,0.017
73,0.026
74,0.02
75,0.017
76,0.023
77,0.027
78,0.027
79,0.022
80,0.025
81,0.024
82,0.022
83,0.02
84,0.013
85,0.012
86,0.014
87,0.02
88,0.021
89,0.022
90,0.012
91,0.016
92,0.019
93,0.019
94,0.01
95,0.019
96,0.021
97,0.02
98,0.016
99,0.013
100,0.023
101,0.019
102,0.014
103,0.021
104,0.02
105,0.022
106,0.016
107,0.02
108,0.017
109,0.012
110,0.022
111,0.021
112,0.017
113,0.018
114,0.025
115,0.021
116,0.015
117,0.026
118,0.021
119,0.02
120,0.018
121,0.02
122,0.017
123,0.021
124,0.02
125,0.016
126,0.033
127,0.021
128,0.01
129,0.019
130,0.015
131,0.02
132,0.023
133,0.018
134,0.013
135,0.023
136,0.023
137,0.023
138,0.016
139,0.024
140,0.017
141,0.029
142,0.014
143,0.018
144,0.019
145,0.02
146,0.017
147,0.018
148,0.016
149,0.012
150,0.018
151,0.02
152,0.02
153,0.026
154,0.023
155,0.02
156,0.021
157,0.019
158,0.016
159,0.013
160,0.02
161,0.026
162,0.014
163,0.013
164,0.016
165,0.022
166,0.02
167,0.019
168,0.014
169,0.013
170,0.018
171,0.016
172,0.016
173,0.015
174,0.024
175,0.021
176,0.018
177,0.019
178,0.014
179,0.02
180,0.025
181,0.021
182,0.022
183,0.022
184,0.021
185,0.019
186,0.017
187,0.019
188,0.017
189,0.012
190,0.021
191,0.019
192,0.02
193,0.018
194,0.017
195,0.02
196,0.014
197,0.009
198,0.015
199,0.025
200,0.018
